layer,cs_condition,comparison,pair,cosine_mean,cosine_std,jaccard_mean,jaccard_std,n_sentences,n_matched_tok_mean
15,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.5009476938280272,0.18098406874274287,0.5242137404985725,0.07308868888190648,999,11.558558558558559
15,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.7107798456250727,0.10298306186216186,0.5492473790477147,0.08326460021146123,999,17.504504504504503
15,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7310841086211505,0.081166463894959,0.5720606495770205,0.06492123025634168,999,17.504504504504503
16,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.24991757698120312,0.16180864979205353,0.3962947179456326,0.0791481602427363,999,11.558558558558559
16,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.4778325720298644,0.2237635457107613,0.5270841509508372,0.07148394703547183,999,11.558558558558559
16,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.569594113564527,0.156051638342744,0.5300591424851064,0.0856312388819954,999,17.504504504504503
16,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.6207672847999824,0.1479057193113488,0.5602198951558549,0.06445736031071896,999,17.504504504504503
17,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.19493292507733614,0.15268308148237192,0.3857621426273427,0.07989806560959933,999,11.558558558558559
17,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.5446839427213754,0.20948662295421241,0.5255419274886031,0.07091627278503973,999,11.558558558558559
17,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.5202036060139283,0.18031520153363972,0.5097312248999692,0.08521222747581682,999,17.504504504504503
17,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.5908062246267323,0.1482776603064136,0.5350688269911806,0.059553778880712366,999,17.504504504504503
18,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.2481972800127955,0.15792480784874885,0.4005514572422493,0.07647198205485392,999,11.558558558558559
18,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.667408623420321,0.16636462052798714,0.5594965254454062,0.07347519834884524,999,11.558558558558559
18,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.5851634247312406,0.16767475827790643,0.5400447922884231,0.08348245157239907,999,17.504504504504503
18,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.652940050158109,0.1392646577780843,0.5706315143924994,0.06039393874913493,999,17.504504504504503
19,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.2646163899131731,0.13801906265947456,0.3825440559480594,0.07876243251675591,999,11.558558558558559
19,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.7827766531028666,0.13987728598397675,0.6148460258909993,0.08655646906864145,999,11.558558558558559
19,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.6518916583305842,0.14723118053089762,0.5507944345530555,0.08398252855696917,999,17.504504504504503
19,cs_fr,vs_matrix_mean,EN_in_cs_fr_vs_matrix_mean,0.7307217786977956,0.12286336905494195,0.5888866484758306,0.06167456132607229,999,17.504504504504503
20,cs_hi,vs_en_context,EN_in_cs_hi_vs_en_context,0.4038459349710781,0.1754115918361684,0.3906101326580961,0.0753772168334196,999,11.558558558558559
20,cs_hi,vs_matrix_mean,EN_in_cs_hi_vs_matrix_mean,0.710906651612181,0.15614847534797766,0.6113064637049708,0.08134885820534277,999,11.558558558558559
20,cs_fr,vs_en_context,EN_in_cs_fr_vs_en_context,0.672007234992685,0.11582061885460788,0.5413379854691747,0.08784409154392751,999,17.504504504504503
