layer,cs_condition,baseline,pair,jaccard_mean,jaccard_std,cosine_mean,cosine_std,n_sentences
7,cs_fr,english,EN_in_cs_fr_vs_english,0.5248515943957354,0.04973622202857286,0.6106571103777136,0.11098602729748422,999
7,cs_fr,french,EN_in_cs_fr_vs_french,0.5579322434153853,0.04973463505073961,0.6676948484596428,0.08572685097971747,999
8,cs_hi,english,EN_in_cs_hi_vs_english,0.3863755144976329,0.023862400116017507,0.4661465493022456,0.13863135222439205,999
8,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5249409527287299,0.06961660526804392,0.610728025947277,0.15380699872410547,999
8,cs_fr,english,EN_in_cs_fr_vs_english,0.5395526153528819,0.050568270764101385,0.7106816436912682,0.08462223515015152,999
8,cs_fr,french,EN_in_cs_fr_vs_french,0.5706833942967695,0.050349034367571446,0.7519199049866593,0.06245973097553795,999
9,cs_hi,english,EN_in_cs_hi_vs_english,0.43861254280601214,0.04000375834378315,0.4786283846038419,0.15617010097121103,999
9,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5621510878220024,0.08508663015428648,0.47978679807176133,0.20659619439312155,999
9,cs_fr,english,EN_in_cs_fr_vs_english,0.6177926557335649,0.06091828206810579,0.76299992924159,0.09827672951137537,999
9,cs_fr,french,EN_in_cs_fr_vs_french,0.6479619075883876,0.06387990550251725,0.7597154867541682,0.1112393592837678,999
10,cs_hi,english,EN_in_cs_hi_vs_english,0.4100713192619109,0.03170115830613941,0.379277426464664,0.1287178117844991,999
10,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5503102150131274,0.06442385859129075,0.6808373644217118,0.0991451369349081,999
10,cs_fr,english,EN_in_cs_fr_vs_english,0.5908802386100126,0.05877842823058397,0.7238923576739696,0.0804344968023801,999
10,cs_fr,french,EN_in_cs_fr_vs_french,0.6219703722707697,0.05867623772679475,0.7754417982724335,0.06860025447420544,999
11,cs_hi,english,EN_in_cs_hi_vs_english,0.4095780365164583,0.03242581719736081,0.4149638416227051,0.26464136797937415,999
11,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.520769038716018,0.07355834002956228,0.23769266995681995,0.24170249376191286,999
11,cs_fr,english,EN_in_cs_fr_vs_english,0.5844163737105336,0.058615963066710075,0.7220041890898058,0.13144371428246532,999
11,cs_fr,french,EN_in_cs_fr_vs_french,0.6070646304619252,0.05785375319531553,0.7087549558664495,0.13193289432718938,999
12,cs_hi,english,EN_in_cs_hi_vs_english,0.4024956074691366,0.03045349928885544,0.34282432473806507,0.25962293677779363,999
12,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5218894200015975,0.07963686642965918,0.020134651983164723,0.3691136257976013,999
12,cs_fr,english,EN_in_cs_fr_vs_english,0.5788767702074867,0.058731103508192765,0.688372998713731,0.1501569146344502,999
12,cs_fr,french,EN_in_cs_fr_vs_french,0.6012063119677106,0.05914541172452143,0.6179936696741231,0.1743202743915172,999
13,cs_hi,english,EN_in_cs_hi_vs_english,0.43126186787444304,0.03880029806350052,0.4627476746465328,0.15805552978140378,999
13,cs_hi,hindi,EN_in_cs_hi_vs_hindi,0.5459649989778294,0.07438526503548686,0.5400883727500707,0.1817451849567613,999
